n,alpha,beta,rep,N_opt,theta22_hat,sigma2_hat,h_hat
100,0.5,0.5,20,2,174617.26081944825,0.9902938801270096,0.07236840379609927
100,0.5,0.5,21,3,404537.3735655495,0.727492904121731,0.05751586174466994
100,0.5,0.5,22,2,224131.69959236716,0.8352727633210513,0.06653935948867201
100,0.5,0.5,23,2,89618.69045829587,1.0656757639603285,0.08391873100469978
100,0.5,0.5,24,2,130618.44690362856,0.7840017962305574,0.07319410712267305
100,0.5,0.5,25,2,102036.40375594642,0.885899177006485,0.07880239913996406
100,0.5,0.5,26,3,1078430.2872764987,0.8268468711399275,0.048499829412232194
100,0.5,0.5,27,2,93220.173558373,1.0472083082299033,0.08296945612729179
100,0.5,0.5,28,2,130265.5040538925,1.0449129296702104,0.07756463348004132
100,0.5,0.5,29,2,217728.9723910872,1.1676508876932747,0.07156372976183692
100,0.5,0.5,30,3,777987.2947625968,0.9524900776982352,0.053258778303589945
100,0.5,0.5,31,2,228034.70879066593,1.121217128732964,0.07033174010189525
100,0.5,0.5,32,2,102084.71870993309,1.0291046425816446,0.08119202422306736
100,0.5,0.5,33,2,328141.1101981083,1.1793055311619298,0.0660582017925297
100,0.5,0.5,34,1,3847.058375003135,1.1962571669395583,0.1611954444939781
100,0.5,0.5,35,2,77181.22973653003,0.924099446793281,0.08403399531237159
100,0.5,0.5,36,2,146201.67622242906,0.910362287572893,0.07373369364722661
100,0.5,0.5,37,2,133695.2417604266,0.8807428572894809,0.07456933062548281
100,0.5,0.5,38,2,111864.89622484626,1.0630888371362048,0.08023960011181386
100,0.5,0.5,39,2,200482.69579960906,0.9744424208355964,0.07016967524966615
100,0.5,0.5,40,1,6219.53437428941,0.9113640009313463,0.13867571328035797
100,0.5,0.5,41,3,174514.28421462112,0.7412225978419879,0.06830258541482562
100,0.5,0.5,42,3,907293.7044365103,0.7453392765873095,0.04917392006236702
100,0.5,0.5,43,1,5031.5133801798875,1.0830872791839354,0.14976370430197686
100,0.5,0.5,44,2,116072.85639619044,0.6712152069877985,0.07265070481518916
